public virtual ListSpeechSynthesisTasksResponse ListSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSpeechSynthesisTasksRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSpeechSynthesisTasksResponseUnmarshaller.Instance;return Invoke<ListSpeechSynthesisTasksResponse>(request, options);} ||| public ListSpeechSynthesisTasksResult listSpeechSynthesisTasks(ListSpeechSynthesisTasksRequest request) {request = beforeClientExecution(request);return executeListSpeechSynthesisTasks(request);}
public LegendRecord(RecordInputStream in1){field_1_xAxisUpperLeft = in1.ReadInt();field_2_yAxisUpperLeft = in1.ReadInt();field_3_xSize = in1.ReadInt();field_4_ySize = in1.ReadInt();field_5_type = (byte)in1.ReadByte();field_6_spacing = (byte)in1.ReadByte();field_7_options = in1.ReadShort();} ||| public LegendRecord(RecordInputStream in) {field_1_xAxisUpperLeft = in.readInt();field_2_yAxisUpperLeft = in.readInt();field_3_xSize          = in.readInt();field_4_ySize          = in.readInt();field_5_type           = in.readByte();field_6_spacing        = in.readByte();field_7_options        = in.readShort();}
public static byte[] EncodedTypeString(int typeCode){switch (typeCode){case OBJ_COMMIT:{return ENCODED_TYPE_COMMIT;}case OBJ_TREE:{return ENCODED_TYPE_TREE;}case OBJ_BLOB:{return ENCODED_TYPE_BLOB;}case OBJ_TAG:{return ENCODED_TYPE_TAG;}default:{throw new ArgumentException(MessageFormat.Format(JGitText.Get().badObjectType, Sharpen.Extensions.ValueOf(typeCode)));}}} ||| public static byte[] encodedTypeString(int typeCode) {switch (typeCode) {case OBJ_COMMIT:return ENCODED_TYPE_COMMIT;case OBJ_TREE:return ENCODED_TYPE_TREE;case OBJ_BLOB:return ENCODED_TYPE_BLOB;case OBJ_TAG:return ENCODED_TYPE_TAG;default:throw new IllegalArgumentException(MessageFormat.format(JGitText.get().badObjectType, Integer.valueOf(typeCode)));}}
public virtual ObjectId GetCalulatedPatchId(){return ObjectId.FromRaw(digest.Digest());} ||| public ObjectId getCalulatedPatchId() {return ObjectId.fromRaw(digest.digest());}
public DefaultRowHeightRecord(){field_1_option_flags = 0x0000;field_2_row_height = DEFAULT_ROW_HEIGHT;} ||| public DefaultRowHeightRecord() {field_1_option_flags = 0x0000;field_2_row_height = DEFAULT_ROW_HEIGHT;}
public java.nio.ByteBuffer encode(java.nio.CharBuffer buffer){try{return newEncoder().onMalformedInput(java.nio.charset.CodingErrorAction.REPLACE).onUnmappableCharacter(java.nio.charset.CodingErrorAction.REPLACE).encode(buffer);}catch (java.nio.charset.CharacterCodingException ex){throw new System.Exception(ex.Message, ex);}} ||| public final ByteBuffer encode(CharBuffer buffer) {try {return newEncoder().onMalformedInput(CodingErrorAction.REPLACE).onUnmappableCharacter(CodingErrorAction.REPLACE).encode(buffer);} catch (CharacterCodingException ex) {throw new Error(ex.getMessage(), ex);}}
public sealed override java.nio.FloatBuffer get(float[] dst, int dstOffset, int floatCount){if (floatCount > remaining()){throw new java.nio.BufferUnderflowException();}System.Array.Copy(backingArray, offset + _position, dst, dstOffset, floatCount);_position += floatCount;return this;} ||| public final FloatBuffer get(float[] dst, int dstOffset, int floatCount) {if (floatCount > remaining()) {throw new BufferUnderflowException();}System.arraycopy(backingArray, offset + position, dst, dstOffset, floatCount);position += floatCount;return this;}
public virtual bool hasNext(){return this._nextEntry != null;} ||| public boolean hasNext() {return nextEntry != null;}
public virtual DeleteNatGatewayResponse DeleteNatGateway(DeleteNatGatewayRequest request){var options = new InvokeOptions();options.RequestMarshaller = DeleteNatGatewayRequestMarshaller.Instance;options.ResponseUnmarshaller = DeleteNatGatewayResponseUnmarshaller.Instance;return Invoke<DeleteNatGatewayResponse>(request, options);} ||| public DeleteNatGatewayResult deleteNatGateway(DeleteNatGatewayRequest request) {request = beforeClientExecution(request);return executeDeleteNatGateway(request);}
public String ResolveNameXText(int reFindex, int definedNameIndex){return linkTable.ResolveNameXText(reFindex, definedNameIndex, this);} ||| public String resolveNameXText(int refIndex, int definedNameIndex) {return linkTable.resolveNameXText(refIndex, definedNameIndex, this);}
public virtual void SetMultiFields(string[] fields){if (fields == null){fields = new string[0];}QueryConfigHandler.Set(ConfigurationKeys.MULTI_FIELDS, fields);} ||| public void setMultiFields(CharSequence[] fields) {if (fields == null) {fields = new CharSequence[0];}getQueryConfigHandler().set(ConfigurationKeys.MULTI_FIELDS, fields);}
public override bool IsCancelled(){Lock.Lock();try{return pm.IsCancelled();}finally{Lock.Unlock();}} ||| public boolean isCancelled() {lock.lock();try {return pm.isCancelled();} finally {lock.unlock();}}
public virtual RemoveTargetsResponse RemoveTargets(RemoveTargetsRequest request){var options = new InvokeOptions();options.RequestMarshaller = RemoveTargetsRequestMarshaller.Instance;options.ResponseUnmarshaller = RemoveTargetsResponseUnmarshaller.Instance;return Invoke<RemoveTargetsResponse>(request, options);} ||| public RemoveTargetsResult removeTargets(RemoveTargetsRequest request) {request = beforeClientExecution(request);return executeRemoveTargets(request);}
public FuzzyQuery(Term term, int maxEdits, int prefixLength, int maxExpansions, bool transpositions): base(term.Field){if (maxEdits < 0 || maxEdits > LevenshteinAutomata.MAXIMUM_SUPPORTED_DISTANCE){throw new System.ArgumentException("maxEdits must be between 0 and " + LevenshteinAutomata.MAXIMUM_SUPPORTED_DISTANCE);}if (prefixLength < 0){throw new System.ArgumentException("prefixLength cannot be negative.");}if (maxExpansions < 0){throw new System.ArgumentException("maxExpansions cannot be negative.");}this.term = term;this.maxEdits = maxEdits;this.prefixLength = prefixLength;this.transpositions = transpositions;this.maxExpansions = maxExpansions;MultiTermRewriteMethod = new MultiTermQuery.TopTermsScoringBooleanQueryRewrite(maxExpansions);} ||| public FuzzyQuery(Term term, int maxEdits, int prefixLength, int maxExpansions, boolean transpositions) {super(term.field());if (maxEdits < 0 || maxEdits > LevenshteinAutomata.MAXIMUM_SUPPORTED_DISTANCE) {throw new IllegalArgumentException("maxEdits must be between 0 and " + LevenshteinAutomata.MAXIMUM_SUPPORTED_DISTANCE);}if (prefixLength < 0) {throw new IllegalArgumentException("prefixLength cannot be negative.");}if (maxExpansions <= 0) {throw new IllegalArgumentException("maxExpansions must be positive.");}this.term = term;this.maxEdits = maxEdits;this.prefixLength = prefixLength;this.transpositions = transpositions;this.maxExpansions = maxExpansions;int[] codePoints = FuzzyTermsEnum.stringToUTF32(term.text());this.termLength = codePoints.length;this.automata = FuzzyTermsEnum.buildAutomata(term.text(), codePoints, prefixLength, transpositions, maxEdits);setRewriteMethod(new MultiTermQuery.TopTermsBlendedFreqScoringRewrite(maxExpansions));this.ramBytesUsed = calculateRamBytesUsed(term, this.automata);}
public virtual CheckoutCommand Checkout(){return new CheckoutCommand(repo);} ||| public CheckoutCommand checkout() {return new CheckoutCommand(repo);}
public ValueEval Evaluate(String sheetName, int rowIndex, int columnIndex){IEvaluationCell cell = _sewb.GetEvaluationCell(sheetName, rowIndex, columnIndex);switch (cell.CellType){case CellType.Boolean:return BoolEval.ValueOf(cell.BooleanCellValue);case CellType.Error:return ErrorEval.ValueOf(cell.ErrorCellValue);case CellType.Formula:return _evaluator.Evaluate(cell);case CellType.Numeric:return new NumberEval(cell.NumericCellValue);case CellType.String:return new StringEval(cell.StringCellValue);case CellType.Blank:return null;}throw new InvalidOperationException("Bad cell type (" + cell.CellType + ")");} ||| public ValueEval evaluate(String sheetName, int rowIndex, int columnIndex) {EvaluationCell cell = _sewb.getEvaluationCell(sheetName, rowIndex, columnIndex);switch (cell.getCellType()) {case BOOLEAN:return BoolEval.valueOf(cell.getBooleanCellValue());case ERROR:return ErrorEval.valueOf(cell.getErrorCellValue());case FORMULA:return _evaluator.evaluate(cell);case NUMERIC:return new NumberEval(cell.getNumericCellValue());case STRING:return new StringEval(cell.getStringCellValue());case BLANK:return null;default:throw new IllegalStateException("Bad cell type (" + cell.getCellType() + ")");}}
public virtual PutFileSystemPolicyResponse PutFileSystemPolicy(PutFileSystemPolicyRequest request){var options = new InvokeOptions();options.RequestMarshaller = PutFileSystemPolicyRequestMarshaller.Instance;options.ResponseUnmarshaller = PutFileSystemPolicyResponseUnmarshaller.Instance;return Invoke<PutFileSystemPolicyResponse>(request, options);} ||| public PutFileSystemPolicyResult putFileSystemPolicy(PutFileSystemPolicyRequest request) {request = beforeClientExecution(request);return executePutFileSystemPolicy(request);}
public override long FileLength(string name){EnsureOpen();if (this.writer != null){return writer.FileLength(name);}FileEntry e = entries[IndexFileNames.StripSegmentName(name)];if (e == null){throw new FileNotFoundException(name);}return e.Length;} ||| public long fileLength(String name) throws IOException {ensureOpen();FileEntry e = entries.get(IndexFileNames.stripSegmentName(name));if (e == null)throw new FileNotFoundException(name);return e.length;}
public virtual DescribeCacheClustersResponse DescribeCacheClusters(){return DescribeCacheClusters(new DescribeCacheClustersRequest());} ||| public DescribeCacheClustersResult describeCacheClusters() {return describeCacheClusters(new DescribeCacheClustersRequest());}
public virtual void SetObjectId(RevObject obj){SetObjectId(obj, obj.Type);} ||| public void setObjectId(RevObject obj) {setObjectId(obj, obj.getType());}
public bool RowHasCells(int row){if (row > records.Length - 1) return false;  CellValueRecordInterface[] rowCells = records[row]; if (rowCells == null) return false;for (int col = 0; col < rowCells.Length; col++){if (rowCells[col] != null) return true;}return false;} ||| public boolean rowHasCells(int row) {if (row >= records.length) {return false;}CellValueRecordInterface[] rowCells=records[row];if(rowCells==null) return false;for(int col=0;col<rowCells.length;col++) {if(rowCells[col]!=null) return true;}return false;}
public override TokenStream Create(TokenStream input){return new SpanishLightStemFilter(input);} ||| public TokenStream create(TokenStream input) {return new SpanishLightStemFilter(input);}
public StoredField(string name, int value): base(name, TYPE){FieldsData = new Int32(value);} ||| public StoredField(String name, double value) {super(name, TYPE);fieldsData = value;}
public virtual DescribePublicIpv4PoolsResponse DescribePublicIpv4Pools(DescribePublicIpv4PoolsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribePublicIpv4PoolsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribePublicIpv4PoolsResponseUnmarshaller.Instance;return Invoke<DescribePublicIpv4PoolsResponse>(request, options);} ||| public DescribePublicIpv4PoolsResult describePublicIpv4Pools(DescribePublicIpv4PoolsRequest request) {request = beforeClientExecution(request);return executeDescribePublicIpv4Pools(request);}
public IndexRevision(IndexWriter writer){sdp = writer.Config.IndexDeletionPolicy as SnapshotDeletionPolicy;if (sdp == null)throw new ArgumentException("IndexWriter must be created with SnapshotDeletionPolicy", "writer");this.writer = writer;this.commit = sdp.Snapshot();this.version = RevisionVersion(commit);this.sourceFiles = RevisionFiles(commit);} ||| public IndexRevision(IndexWriter writer) throws IOException {IndexDeletionPolicy delPolicy = writer.getConfig().getIndexDeletionPolicy();if (!(delPolicy instanceof SnapshotDeletionPolicy)) {throw new IllegalArgumentException("IndexWriter must be created with SnapshotDeletionPolicy");}this.writer = writer;this.sdp = (SnapshotDeletionPolicy) delPolicy;this.commit = sdp.snapshot();this.version = revisionVersion(commit);this.sourceFiles = revisionFiles(commit);}
public void SetTabIdArray(short[] array){_tabids = array;} ||| public void setTabIdArray(short[] array) {_tabids = array.clone();}
public virtual UpdateObjectAttributesResponse UpdateObjectAttributes(UpdateObjectAttributesRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateObjectAttributesRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateObjectAttributesResponseUnmarshaller.Instance;return Invoke<UpdateObjectAttributesResponse>(request, options);} ||| public UpdateObjectAttributesResult updateObjectAttributes(UpdateObjectAttributesRequest request) {request = beforeClientExecution(request);return executeUpdateObjectAttributes(request);}
public virtual GetGameSessionLogUrlResponse GetGameSessionLogUrl(GetGameSessionLogUrlRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetGameSessionLogUrlRequestMarshaller.Instance;options.ResponseUnmarshaller = GetGameSessionLogUrlResponseUnmarshaller.Instance;return Invoke<GetGameSessionLogUrlResponse>(request, options);} ||| public GetGameSessionLogUrlResult getGameSessionLogUrl(GetGameSessionLogUrlRequest request) {request = beforeClientExecution(request);return executeGetGameSessionLogUrl(request);}
public RefCount(T @object){this.m_object = @object;} ||| public RefCount(T object) {this.object = object;}
public override java.nio.ByteBuffer put(int index, byte b){checkIndex(index);backingArray[offset + index] = b;return this;} ||| public ByteBuffer put(int index, byte b) {checkIndex(index);backingArray[offset + index] = b;return this;}
public virtual IntervalSet Look(ATNState s, ATNState stopState, RuleContext ctx){IntervalSet r = new IntervalSet();bool seeThruPreds = true;PredictionContext lookContext = ctx != null ? PredictionContext.FromRuleContext(s.atn, ctx) : null;Look(s, stopState, lookContext, r, new HashSet<ATNConfig>(), new BitSet(), seeThruPreds, true);return r;} ||| public IntervalSet LOOK(ATNState s, ATNState stopState, RuleContext ctx) {IntervalSet r = new IntervalSet();boolean seeThruPreds = true; PredictionContext lookContext = ctx != null ? PredictionContext.fromRuleContext(s.atn, ctx) : null;_LOOK(s, stopState, lookContext,r, new HashSet<ATNConfig>(), new BitSet(), seeThruPreds, true);return r;}
